Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2019-01-02,94.39712524414062,94.98523766521521,92.3620604078029,92.9315056456424,35329300
2019-01-03,90.92448425292969,93.52899544733788,90.73777672947024,93.44497528124018,42579100
2019-01-04,95.15330505371094,95.69474615051092,92.35275649777576,93.09023513883162,44060600
2019-01-07,95.27465057373047,96.404204196358,94.2664586018881,94.8825755223383,35656100
2019-01-08,95.9654541015625,97.05766618568377,94.9479178896194,96.1894959624217,31514400
2019-01-09,97.33771514892578,97.9071605077314,96.37619475944942,96.9549772729364,32280800
2019-01-10,96.71226501464844,96.85229385187884,95.57337425101286,96.3575314662056,30067600
2019-01-11,95.9654541015625,96.56290381196195,94.88257205011203,96.3295247962696,28314200
2019-01-14,95.26531982421875,96.03080273305875,94.52784125853005,95.12529098629969,28437100
2019-01-15,98.0285415649414,98.0658830688995,95.10663119915357,95.69475098378877,31587600
2019-01-16,98.3739242553711,99.19542298323661,97.98184920188764,98.2619068813259,29853900
2019-01-17,99.06473541259766,99.5408235163855,97.79515289150422,98.01919477106101,28393000
2019-01-18,100.54902648925781,100.7263968418376,98.86870164530524,100.31564744519525,37427600
2019-01-22,98.65398406982422,99.97957525390608,97.8885011345778,99.65284603559897,32371300
2019-01-23,99.61550903320312,99.92357107672707,98.33658932419233,99.0647379149298,25874300
2019-01-24,99.139404296875,99.8862200055949,98.33657990275798,99.75552832489328,23164800
2019-01-25,100.0449447631836,100.70774051200877,99.13943277098889,100.11029062230257,31225600
2019-01-28,98.09387969970703,99.4008037467752,97.70180462223551,99.19542905224351,29476700
2019-01-29,96.09616088867188,97.99119765448269,95.37734941891803,97.90717749209949,31490500
2019-01-30,99.30744934082031,99.30744934082031,97.3937454320837,97.66446598078723,49471900
2019-01-31,97.48707580566406,98.22455429760602,96.32018080996387,96.89896329180942,55636400
2019-02-01,95.94677734375,97.1790182302777,95.54536516211496,96.88029338270015,35535700
2019-02-04,98.7099838256836,98.76599963101216,95.93744005435147,96.03079735584504,31315100
2019-02-05,100.09160614013672,100.13827767592316,98.91537375700409,99.00872395074025,27325400
2019-02-06,98.98069763183594,99.8862092666024,98.51393964460883,99.8862092666024,20609800
2019-02-07,98.27125549316406,98.56998041736473,97.35641352874624,98.19657960373688,29760700
2019-02-08,98.6446304321289,98.74731775817665,97.3283766234031,97.44973113502242,21461100
2019-02-11,98.2525863647461,99.49416469986221,97.99120295149298,99.13942396287827,18914100
2019-02-12,99.78353881835938,100.01691785144978,98.4672847752542,99.08340171908816,25056600
2019-02-13,99.7088623046875,100.61437415152945,99.61551210981132,100.35299075701082,18394900
2019-02-14,99.7928695678711,100.15694026634826,98.63531163225558,99.24209138160923,21784700
2019-02-15,101.0251235961914,101.0998066009877,100.22229910003954,100.73573585530993,26606900
2019-02-19,100.97843170166016,101.4358597044565,100.61436100370382,100.6236981586203,18038500
2019-02-20,100.45343780517578,101.19406595920144,99.64718473383542,101.11906401010476,21607700
2019-02-21,102.57221221923828,102.63783714668975,100.19095361194368,100.21907755905423,29063200
2019-02-22,104.03472137451172,104.25034308460133,102.95659136632032,103.17222022899105,27763200
2019-02-25,104.61595153808594,105.16908200205589,104.30658099823759,104.77533247673622,23750600
2019-02-26,105.33782958984375,106.16282959177087,104.22219881640638,104.3065777992899,21536700
2019-02-27,105.15970611572266,105.33783396831883,103.9503264297076,104.70970869690497,21487100
2019-02-28,105.02845764160156,105.82533374360462,104.74721103931935,105.03783467411833,29083900
2019-03-01,105.49720764160156,105.9565820923151,104.69095451846677,105.83470928163845,23501200
2019-03-04,105.24407958984375,106.17220547605116,103.8753261877115,105.95657665775063,26608000
2019-03-05,104.71907806396484,105.36595739700034,104.27845767969917,105.23470755443952,19538300
2019-03-06,104.76593780517578,105.6190687856414,104.46593719555047,104.8784407160023,17687000
2019-03-07,103.4909439086914,104.57845069909814,103.00344555088871,104.43782383446562,25339000
2019-03-08,103.60343170166016,103.79092939207018,102.00030284514571,102.33780440994647,22818400
2019-03-11,105.77843475341797,105.89093050337952,104.04405613325491,104.05342601069957,26491600
2019-03-12,106.51907348632812,106.86594495371561,105.60969460222127,105.76906836575492,26132700
2019-03-13,107.34408569335938,107.81283715926924,106.66908243803641,106.99720703365738,35513800
2019-03-14,107.4284439086914,108.00032119682909,107.18469832716758,107.38157305958859,30763400
2019-03-15,108.66597747802734,109.92222807998866,107.42846663657721,108.1315938950846,54681100
2019-03-18,110.22221374511719,110.25971471877288,108.79721250909778,108.90970827748548,31207600
2019-03-19,110.2972183227539,111.03784647681243,109.67846297154821,110.70971473764482,37588700
2019-03-20,110.17533874511719,111.32847047060031,109.4159636774695,110.05346594184644,28113300
2019-03-21,112.70660400390625,113.26910433445914,109.77221523934608,109.81909324713372,29854400
2019-03-22,109.73470306396484,112.11595382664103,109.7253260334596,112.0315820098295,33624500
2019-03-25,110.30659484863281,110.63471943371599,109.05033724099783,109.27533593468637,27067100
2019-03-26,110.54095458984375,111.2909525112157,109.54719679397265,111.2065806955,26097700
2019-03-27,109.47219848632812,110.82220480317581,108.30031998978083,110.51282716346843,22733400
2019-03-28,109.62222290039062,110.23160126325322,108.87221766108588,110.1003514192619,18334800
2019-03-29,110.5691146850586,110.92536327776193,109.65035852666047,110.6909875095827,25399800
2019-04-01,111.58161926269531,111.66599826364472,110.71911810066379,111.51599432977078,22789100
2019-04-02,111.740966796875,112.01284348123814,111.11283445244611,111.61908684892447,18142300
2019-04-03,112.47221374511719,112.90346418126737,111.7034617237053,112.36908786336618,22860700
2019-04-04,111.90036010742188,112.71599030295768,110.98160400833854,112.59411033372132,20112800
2019-04-05,112.39722442626953,112.71597913818316,111.90972605535296,111.92847296660453,15826200
2019-04-08,112.43472290039062,112.51909472801536,111.2253433030464,112.32221997764483,15116200
2019-04-09,111.8253402709961,112.06909301791684,111.16909112841623,111.2159619799838,17612000
2019-04-10,112.678466796875,112.82846352949575,112.06908853026442,112.27534029612453,16477200
2019-04-11,112.80972290039062,113.29722124927135,112.42534328760176,113.00659764624126,14209100
2019-04-12,113.3909683227539,113.41909941678662,112.84722209863477,113.10034472429547,19745100
2019-04-15,113.48473358154297,113.98160899460126,113.03472902386804,113.38160768608788,15792600
2019-04-16,113.22224426269531,114.04725155394028,112.59411891328354,114.03787452038135,14071800
2019-04-17,114.15972137451172,114.23472332075816,113.00659684943443,113.6628459976427,19300900
2019-04-18,115.65973663330078,115.80035634779995,113.71910589483697,114.55348291290336,27991000
2019-04-22,116.02536010742188,116.25035879914961,114.90972937528204,114.95660738099089,15648700
2019-04-23,117.60032653808594,117.73157632776511,116.09094680419841,116.3440693549862,24025500
2019-04-24,117.1972427368164,117.98474176111466,116.73786115339607,117.92849387440184,31257000
2019-04-25,121.07846069335938,123.15971770646891,120.77846728610169,121.93159153223371,38033900
2019-04-26,121.77225494384766,122.36288636709969,120.95663197281159,121.59412709841233,23654900
2019-04-29,121.65975952148438,122.0441248517792,121.26601000656512,121.78162517516637,16324200
2019-04-30,122.4378890991211,122.53163080957594,121.30350425288889,121.69725376918217,24166500
