Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2019-01-02,52.33855056762695,52.64175966316369,50.87957283917256,50.97485360458777,31868000
2019-01-03,50.88899230957031,52.9131990313244,50.73515588504346,52.13954553594533,41960000
2019-01-04,53.49927520751953,53.595051944099,51.454225885073264,51.73708850777904,46022000
2019-01-07,53.392578125,53.72903282984325,52.73355609470905,53.64318323120799,47446000
2019-01-08,53.861534118652344,54.257540234788266,53.0169141615016,53.89279586635476,35414000
2019-01-09,53.67693328857422,54.17268778759912,53.31566073031168,53.991557423634816,26998000
2019-01-10,53.536991119384766,53.585623453477346,52.83479624922909,53.34394971663049,26598000
2019-01-11,52.82437515258789,53.26603778530063,52.42538933503741,53.09383880488812,30864000
2019-01-14,52.181236267089844,52.52563423166074,52.0343473018788,52.27204944129279,28490000
2019-01-15,53.91810989379883,54.0054512176976,52.326634285051185,52.50379682218738,37518000
2019-01-16,54.066986083984375,54.70466978962712,53.99255153834507,54.09130414535982,38280000
2019-01-17,54.54388427734375,54.62229042996936,53.75682795333171,53.99155800550626,24896000
2019-01-18,54.94981384277344,55.48080167136482,54.55182001373234,55.01382906025276,44892000
2019-01-22,53.52706527709961,54.53644084839105,53.142966373841496,54.38905212286188,39632000
2019-01-23,53.81390380859375,54.237699906875186,52.97821886828759,53.93548276341586,25194000
2019-01-24,53.793556213378906,53.992057175232375,53.09979669576332,53.719613857335524,29114000
2019-01-25,54.6624870300293,54.754292157150836,54.1806274814527,54.3012144700217,23260000
2019-01-28,53.588104248046875,54.25853761526493,53.32757198939038,54.094777834646884,29334000
2019-01-29,53.10177230834961,53.829773118643324,52.90128746617696,53.64665507289479,19704000
2019-01-30,54.4878044128418,54.5637306703706,53.428308652364905,53.46403798777427,29452000
2019-01-31,55.87234115600586,55.96067443398866,54.84808251474567,55.19496034233582,40232000
2019-02-01,55.511566162109375,56.29465080584644,55.29470647780534,55.693688467254056,33116000
2019-02-04,56.64302062988281,56.68867709695987,55.45648632466018,55.53092465281359,78408000
2019-02-05,57.16160583496094,57.206270349703495,55.75870770046003,56.05794518348053,82296000
2019-02-06,55.723472595214844,57.26730791642464,55.49866966697885,57.03258164416233,48256000
2019-02-07,54.88084030151367,55.18255766508734,54.26945856973418,55.174122254739345,38298000
2019-02-08,54.70566177368164,54.84064348388017,54.30171617106462,54.33347390092957,21766000
2019-02-11,54.69275665283203,55.254018093652185,54.58755255107971,54.773646480231115,18498000
