Date,Open,High,Low,Close,Volume
2019-01-02,36.784145853458895,37.724590460067255,36.6274044817337,37.50372695922852,148158800
2019-01-03,34.19316775202063,34.6063939048383,33.722947387601785,33.768070220947266,365248800
2019-01-04,34.32379724419946,35.27849047559891,34.1504337518255,35.209617614746094,234428400
2019-01-07,35.314101925245296,35.34497620753609,34.64914163479425,35.1312370300293,219111200
2019-01-08,35.51834447775036,36.05506423362693,35.271361057087084,35.80095291137695,164101200
2019-01-09,35.929190786032024,36.6986453479839,35.534967488442895,36.408912658691406,180396400
2019-01-10,36.21655182724987,36.56565592820539,35.82707561156554,36.52528381347656,143122800
2019-01-11,36.30680246578782,36.50153878834281,35.98144470474648,36.16668319702149,108092800
2019-01-14,35.82471660478118,35.92446015644314,35.43761378324668,35.62285232543945,129756800
2019-01-15,35.68697193806859,36.42792605418148,35.634724801804865,36.351932525634766,114843600
2019-01-16,36.35430090299284,37.01926139590715,36.33530161762464,36.796024322509766,122278800
2019-01-17,36.620280311678194,37.441982116151216,36.39704325863524,37.01450729370117,119284800
2019-01-18,37.40398497191301,37.49423066668109,37.04300581658366,37.24249649047852,135004000
2019-01-22,37.1451202112431,37.22111371203419,36.24504783922982,36.40653991699219,121576000
2019-01-23,36.608400270150376,36.8435122960888,36.02656133084995,36.55377960205078,92522400
2019-01-24,36.59890893765972,36.6867774572087,36.03606917947976,36.26405334472656,101766000
2019-01-25,36.92426185553072,37.55360090015186,36.64878130027886,37.465728759765625,134142000
2019-01-28,36.99787570546437,37.12611994377185,36.492033900729126,37.11899566650391,104768400
2019-01-29,37.10712229266967,37.55359634769264,36.59890329069896,36.73426818847656,166348800
2019-01-30,38.76951665488747,39.45822331135805,38.05230926781852,39.24448776245117,244439200
2019-01-31,39.4487289349215,40.13506210044691,39.080625569606816,39.527099609375,162958400
2019-02-01,39.65059485362112,40.13031312607623,39.405981367304726,39.54610061645508,130672400
2019-02-04,39.75747056217919,40.76678449917844,39.72659627039081,40.66941452026367,125982000
2019-02-05,41.05175152470589,41.5789697254178,40.93063520109331,41.365230560302734,144406400
2019-02-06,41.47686388245452,41.69535385122478,41.04939264690845,41.37949752807617,112958400
2019-02-07,40.94251782527925,41.30824769496477,40.45329804715444,40.59579086303711,126966800
2019-02-08,40.30481440833636,40.70311587039723,40.16886530680823,40.64348983764648,95280000
2019-02-11,40.79612719564732,40.834288725227694,40.36681908607748,40.40974807739258,83973600
2019-02-12,40.56955604622166,40.78420831850001,40.47415220576565,40.75797271728516,89134000
2019-02-13,40.87723763914784,41.13720636245975,40.52663614873119,40.588645935058594,89960800
2019-02-14,40.47653498895316,40.84621345605926,40.39782819422876,40.73650360107422,87342800
2019-02-15,40.84382522454604,40.95115133669543,40.48606909119235,40.64586639404297,98507200
2019-02-19,40.476530193148335,40.88914124452737,40.42405900288239,40.76750183105469,75891200
2019-02-20,40.82951887269788,41.33753378782997,40.78181877890572,41.02986145019531,104457600
2019-02-21,40.97500585247645,41.11095129951937,40.61724969597512,40.79851150512695,68998800
2019-02-22,40.9225306812622,41.261206039788064,40.874830592887925,41.254051208496094,75652800
2019-02-25,41.53787584944258,41.945715831476846,41.48778838604835,41.554569244384766,87493600
2019-02-26,41.43055496170665,41.80977566356522,41.30176069059117,41.578426361083984,68280800
2019-02-27,41.31130406008195,41.73822487321426,41.19681945157351,41.707218170166016,111341600
2019-02-28,41.5760424809069,41.71675904686079,41.242134508972,41.29698944091797,112861600
2019-03-01,41.56648402789435,41.77398137926119,41.234963556048505,41.73105239868164,103544800
