Date,Open,High,Low,Close,Volume
2019-01-02,92.9315056456424,94.9852376652152,92.3620604078029,94.39712524414062,35329300
2019-01-03,93.44497528124018,93.52899544733788,90.73777672947024,90.92448425292967,42579100
2019-01-04,93.09023513883162,95.69474615051092,92.35275649777576,95.15330505371094,44060600
2019-01-07,94.8825755223383,96.404204196358,94.2664586018881,95.27465057373048,35656100
2019-01-08,96.1894959624217,97.05766618568376,94.9479178896194,95.9654541015625,31514400
2019-01-09,96.9549772729364,97.9071605077314,96.37619475944942,97.33771514892578,32280800
2019-01-10,96.3575314662056,96.85229385187884,95.57337425101286,96.71226501464844,30067600
2019-01-11,96.3295247962696,96.56290381196196,94.88257205011205,95.9654541015625,28314200
2019-01-14,95.12529098629967,96.03080273305876,94.52784125853005,95.26531982421876,28437100
2019-01-15,95.69475098378877,98.0658830688995,95.10663119915355,98.0285415649414,31587600
2019-01-16,98.2619068813259,99.1954229832366,97.98184920188764,98.3739242553711,29853900
2019-01-17,98.019194771061,99.5408235163855,97.79515289150422,99.06473541259766,28393000
2019-01-18,100.31564744519524,100.7263968418376,98.86870164530524,100.5490264892578,37427600
2019-01-22,99.65284603559896,99.97957525390608,97.8885011345778,98.65398406982422,32371300
2019-01-23,99.0647379149298,99.92357107672709,98.33658932419232,99.61550903320312,25874300
2019-01-24,99.75552832489328,99.8862200055949,98.33657990275798,99.139404296875,23164800
2019-01-25,100.11029062230256,100.70774051200875,99.13943277098888,100.0449447631836,31225600
2019-01-28,99.19542905224353,99.4008037467752,97.70180462223551,98.09387969970705,29476700
2019-01-29,97.90717749209948,97.99119765448268,95.37734941891804,96.09616088867188,31490500
2019-01-30,97.66446598078724,99.30744934082033,97.3937454320837,99.30744934082033,49471900
2019-01-31,96.89896329180942,98.22455429760602,96.32018080996389,97.48707580566406,55636400
2019-02-01,96.88029338270016,97.1790182302777,95.54536516211496,95.94677734375,35535700
2019-02-04,96.03079735584504,98.76599963101216,95.93744005435148,98.7099838256836,31315100
2019-02-05,99.00872395074023,100.13827767592316,98.91537375700408,100.09160614013672,27325400
2019-02-06,99.8862092666024,99.8862092666024,98.51393964460884,98.98069763183594,20609800
2019-02-07,98.19657960373688,98.56998041736472,97.35641352874624,98.27125549316406,29760700
2019-02-08,97.44973113502242,98.74731775817664,97.3283766234031,98.6446304321289,21461100
2019-02-11,99.13942396287828,99.4941646998622,97.99120295149298,98.2525863647461,18914100
2019-02-12,99.08340171908816,100.01691785144978,98.4672847752542,99.78353881835938,25056600
2019-02-13,100.35299075701082,100.61437415152945,99.61551210981132,99.7088623046875,18394900
2019-02-14,99.24209138160924,100.15694026634826,98.63531163225558,99.7928695678711,21784700
2019-02-15,100.73573585530993,101.0998066009877,100.22229910003954,101.0251235961914,26606900
2019-02-19,100.6236981586203,101.4358597044565,100.61436100370382,100.97843170166016,18038500
